pvalue,0.5905052
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_LDT_004_001
gene_symbol,Zfp69
analysis_id,qq39koi1zt75132
parameter_name,Dark side time spent
gene_accession_id,MGI:107794
