mouse_life_stage,Early adult
parameter_name,Iris/Pupil
pvalue,0.3552641
analysis_id,sng92664x6571l3
gene_accession_id,MGI:1298378
mouse_strain,C57BL
parameter_id,IMPC_EYE_010_001
gene_symbol,Dhcr7
