gene_accession_id,MGI:1859214
gene_symbol,Pmm2
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,IMPC_ACS_037_001
pvalue,0.9548997
parameter_name,% Pre-pulse inhibition - Global
analysis_id,454i0uz6yf276kj
