mouse_strain,C57BL
analysis_id,p3w2r58ysx5m1vk
pvalue,0.9472973
parameter_name,HDL-cholesterol
mouse_life_stage,Early adult
gene_symbol,Ankrd9
gene_accession_id,MGI:1921501
parameter_id,IMPC_CBC_016_001
