gene_symbol,Myorg
parameter_id,CCP_XRY_060_001
analysis_id,r1n6p31665m2g9f
pvalue,0.6864023
gene_accession_id,MGI:2140300
mouse_strain,C54BL
mouse_life_stage,Early adult
parameter_name,Transitional vertebrae
