mouse_strain,C57BL
gene_symbol,Abca12
parameter_name,PP1 startle magnitude
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_002
analysis_id,5xmcj8b5uq7uh88
pvalue,0.7179608
gene_accession_id,MGI:2676312
