parameter_name,Prepulse inhibition - PP4
parameter_id,ESLIM_011_001_704
gene_symbol,Dgkd
mouse_life_stage,early adult
mouse_strain,C57BL
pvalue,0.3938249
analysis_id,9s74c5a546355vp
gene_accession_id,MGI:2138334
