analysis_id,411v2d1do1i7705
parameter_name,% Pre-pulse inhibition - PPI3
pvalue,0.4893253
mouse_life_stage,Early adult
gene_accession_id,MGI:1914162
mouse_strain,C57BL
gene_symbol,Bzw2
parameter_id,IMPC_ACS_035_001
