mouse_strain,C57BL
parameter_name,Iron
analysis_id,qf67f764w5k002e
gene_symbol,Malrd1
gene_accession_id,MGI:1928271
mouse_life_stage,Early adult
pvalue,0.5021111
parameter_id,IMPC_CBC_011_001
