gene_symbol,Tiprl
parameter_id,IMPC_GRS_010_001
mouse_life_stage,Early adult
parameter_name,Forelimb grip strength normalised against body weight
pvalue,0.6773599
mouse_strain,C57BL
gene_accession_id,MGI:1915087
analysis_id,67302evb51085is
