pvalue,0.1554735
gene_symbol,Hadhb
parameter_id,IMPC_HEM_004_001
parameter_name,Hematocrit
mouse_strain,C57BL
gene_accession_id,MGI:2136381
mouse_life_stage,Early adult
analysis_id,906mr2ue975lh70
