mouse_strain,C57BL
gene_accession_id,MGI:1913721
parameter_id,CCP_LDT_005_001
gene_symbol,Anp32e
parameter_name,Time mobile dark side
mouse_life_stage,Early adult
pvalue,0.8397274
analysis_id,oks0ill772r8q4m
