parameter_id,M-G-P_026_001_006
parameter_name,Skin condition
gene_symbol,Bzw2
pvalue,0.9656603
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,341813hc97gf1af
gene_accession_id,MGI:1914162
