parameter_id,IMPC_GEL_060_001
mouse_life_stage,Early adult
gene_symbol,Armc7
analysis_id,9pylv4xbgm5l913
parameter_name,Neural tube morphology
mouse_strain,C57BL
gene_accession_id,MGI:2679719
pvalue,0.676841
