mouse_life_stage,Early adult
gene_accession_id,MGI:102793
analysis_id,31f3ja670p7lr50
parameter_id,ESLIM_011_001_002
parameter_name,PP1 startle magnitude
pvalue,0.5636199
gene_symbol,Fstl1
mouse_strain,C57BL
