mouse_strain,C57BL
parameter_name,Responsive to tactile stimuli
mouse_life_stage,E9.5
parameter_id,IMPC_GEP_005_002
gene_symbol,Pqbp1
pvalue,0.1286567
analysis_id,68kr5v8co0wafz8
gene_accession_id,MGI:1859638
