parameter_name,Periphery distance travelled
gene_symbol,Praf2
mouse_life_stage,Early adult
gene_accession_id,MGI:1859607
mouse_strain,C57BL
pvalue,0.8557008
parameter_id,IMPC_OFD_010_001
analysis_id,ob9gj4fgnz71asv
