pvalue,0.5803733
parameter_name,Magnesium
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,57c5r74lnm86688
parameter_id,IMPC_CBC_054_001
gene_accession_id,MGI:2679719
gene_symbol,Armc7
