analysis_id,612h9gqhlw41ku4
pvalue,0.7007357
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_013_001
gene_accession_id,MGI:1298378
mouse_strain,C57BL
gene_symbol,Dhcr7
parameter_name,Periphery average speed
