gene_symbol,Fgd3
parameter_id,ESLIM_011_001_010
analysis_id,030o0d3epzhzv56
mouse_strain,C57BL
parameter_name,PP4 + pulse startle magnitude
pvalue,1.424416
mouse_life_stage,Early adult
gene_accession_id,MGI:1353657
