pvalue,0.3927666
parameter_id,M-G-P_014_001_006
mouse_life_stage,Early adult
parameter_name,cornea
analysis_id,6ygyi3xp969q6qb
gene_accession_id,MGI:1353657
mouse_strain,C57BL
gene_symbol,Fgd3
