gene_accession_id,MGI:2147134
gene_symbol,Fbxo11
mouse_strain,C3H
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_037_001
pvalue,0.7409213
parameter_name,% Pre-pulse inhibition - Global
analysis_id,4hvg541w388t9k3
