parameter_id,ESLIM_013_001_005
analysis_id,j6zm9619p12b9u2
mouse_strain,C57BL
parameter_name,Left retina structure
mouse_life_stage,Early adult
pvalue,0.7064877
gene_symbol,Fes
gene_accession_id,MGI:95514
