mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - PPI2
gene_accession_id,MGI:1914162
parameter_id,IMPC_ACS_034_001
analysis_id,n469sabx219093c
mouse_strain,C57BL
pvalue,0.5731249
gene_symbol,Bzw2
