pvalue,0.8169061
parameter_id,IMPC_EYE_069_001
analysis_id,e01nvhk4n16t78y
mouse_life_stage,Early adult
gene_symbol,Bmx
mouse_strain,C57BL
parameter_name,Left inner nuclear layer
gene_accession_id,MGI:1101778
