mouse_strain,C57BL
parameter_name,Prepulse inhibition - PP2
pvalue,0.5365108
parameter_id,ESLIM_011_001_702
mouse_life_stage,E18.5
analysis_id,lsv1046h7le15my
gene_accession_id,MGI:1919618
gene_symbol,Borcs8
