mouse_life_stage,Early adult
parameter_id,IMPC_CSD_033_001
analysis_id,1x223e515xh14s3
parameter_name,Gait
gene_accession_id,MGI:2147134
mouse_strain,C57BL
pvalue,0.8201925
gene_symbol,Fbxo11
