gene_accession_id,MGI:98495
gene_symbol,Tbx3
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,IMPC_OFD_020_001
pvalue,0.6957355
parameter_name,Distance travelled - total
analysis_id,w23w8m876910p3e
