gene_accession_id,MGI:98495
gene_symbol,Tbx3
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,IMPC_HEM_033_001
pvalue,0.5279888
parameter_name,Monocyte differential count
analysis_id,9hk02066jn807lt
