mouse_strain,C57BL
parameter_name,Craniofacial morphology
parameter_id,IMPC_GEO_063_001
pvalue,0.2208079
gene_symbol,Pmm2
mouse_life_stage,E9.5
gene_accession_id,MGI:1859214
analysis_id,9ko53x2xm9c3798
