mouse_strain,C57BL
parameter_id,IMPC_ACS_035_001
parameter_name,% Pre-pulse inhibition - PPI3
gene_accession_id,MGI:105080
gene_symbol,Tgoln1
mouse_life_stage,Early adult
pvalue,0.8581296
analysis_id,94r24524ddu093w
