mouse_strain,C57BL
analysis_id,s545s577fsklhqw
parameter_id,ESLIM_021_001_004
mouse_life_stage,Early adult
pvalue,0.1263841
parameter_name,Free fatty acids
gene_accession_id,MGI:103227
gene_symbol,Cmah
