gene_accession_id,MGI:1928271
gene_symbol,Malrd1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_IPG_012_001
pvalue,0.3570605
parameter_name,Area under glucose response curve
analysis_id,mi52j6c6r4jvt13
