parameter_name,Mean right eye lens density
mouse_strain,C57BL
pvalue,0.4766872
analysis_id,euioxo9iw1n19p5
parameter_id,IMPC_EYE_059_001
mouse_life_stage,Early adult
gene_accession_id,MGI:103556
gene_symbol,Cxcl12
