pvalue,0.4405839
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Center distance travelled
gene_accession_id,MGI:1353657
parameter_id,JAX_OFD_014_001
analysis_id,5hv47hipw9836gw
gene_symbol,Fgd3
