analysis_id,4699873dl2i773q
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ACS_035_001
gene_symbol,Pmm2
pvalue,0.4005543
gene_accession_id,MGI:1859214
parameter_name,% Pre-pulse inhibition - PPI3
