gene_accession_id,MGI:2136381
gene_symbol,Hadhb
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_013_001
pvalue,0.6642958
parameter_name,Alanine aminotransferase
analysis_id,06k0bo4hr98ocvl
