analysis_id,c7dy87t7ypg0jz4
mouse_strain,C57BL
pvalue,0.5203683
gene_symbol,Myorg
parameter_name,Limb grasp
gene_accession_id,MGI:2140300
parameter_id,IMPC_CSD_039_001
mouse_life_stage,Early adult
