pvalue,0.2638473
mouse_life_stage,Early adult
gene_symbol,Sec16b
gene_accession_id,MGI:2148802
analysis_id,q9e883xvs0m153z
parameter_name,Body Weight
mouse_strain,C57BL
parameter_id,M-G-P_020_001_001
