mouse_life_stage,Early adult
pvalue,0.1708401
gene_accession_id,MGI:96193
parameter_name,Creatinine
parameter_id,IMPC_CBC_005_001
mouse_strain,C57BL
gene_symbol,Hoxc11
analysis_id,y0an665o5c07hrx
