gene_accession_id,MGI:2182543
gene_symbol,Grhl2
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,IMPC_GRS_010_001
pvalue,0.7812814
parameter_name,Forelimb grip strength normalised against body weight
analysis_id,tqvnr4o41v719qk
