parameter_id,MGP_IMM_070_001
analysis_id,ax01mn1xt5gqwpv
gene_accession_id,MGI:103556
parameter_name,Total ab T cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.974526
gene_symbol,Cxcl12
