mouse_strain,C57BL
analysis_id,ekn1ly94r401k36
pvalue,0.4184728
gene_symbol,Rab11fip4
parameter_name,Abnormal ECG detected
gene_accession_id,MGI:2442920
parameter_id,IMPC_ECG_031_001
mouse_life_stage,Early adult
