pvalue,0.08248663
gene_symbol,Cxcl12
analysis_id,2m8099qhs24pzfp
mouse_strain,C57BL
parameter_id,IMPC_IPG_012_001
parameter_name,Area under glucose response curve
gene_accession_id,MGI:103556
mouse_life_stage,E12.5
