parameter_id,IMPC_EYE_016_001
gene_symbol,Dynll1
mouse_life_stage,Early adult
analysis_id,q9ql26m19017fzm
pvalue,0.5822755
parameter_name,Lens
mouse_strain,C57BL
gene_accession_id,MGI:1861457
