mouse_strain,C57BL
pvalue,0.5924117
gene_accession_id,MGI:96412
analysis_id,z52jn5tl4l96lq6
gene_symbol,Ide
parameter_name,coat hair color
parameter_id,ESLIM_001_001_009
mouse_life_stage,Early adult
