mouse_life_stage,Early adult
gene_accession_id,MGI:95514
pvalue,0.9767713
gene_symbol,Fes
mouse_strain,C57BL
parameter_name,Mean cell hemoglobin concentration
analysis_id,128204z09dlz5x4
parameter_id,IMPC_HEM_007_001
