gene_symbol,Dennd6b
mouse_life_stage,Early adult
parameter_id,IMPC_GRS_008_001
parameter_name,Forelimb grip strength measurement mean
gene_accession_id,MGI:1916690
analysis_id,jn5vw7r570630h5
mouse_strain,C57BL
pvalue,0.7311068
