mouse_life_stage,Early adult
pvalue,0.9497243
parameter_id,MGP_IMM_070_001
parameter_name,Total ab T cells - % of CD45+
gene_accession_id,MGI:1298378
mouse_strain,C57BL
gene_symbol,Dhcr7
analysis_id,mv6is93n5iei4ac
