mouse_strain,C57BL
mouse_life_stage,Middle aged adult
analysis_id,468j3l42e0g2hav
parameter_name,BMC/Body weight
pvalue,0.8986236
parameter_id,IMPC_DXA_007_001
gene_symbol,Hsd17b4
gene_accession_id,MGI:105089
