pvalue,0.8686184
Parameter_name,Center average speed
parameter_id,IMPC_OFD_017_001
mouse_life_stage,Early adult
analysis_id,af44jo3n9796snu
Mouse_strain,C57BL
gene_symbol,Pmm2
Gene_accession_id,MGI:1859214
