mouse_life_stage,Early adult
analysis_id,8ddeq2gs6t9c7o9
parameter_id,IMPC_CSD_014_001
parameter_name,Coat - hair texture / appearance - back
pvalue,1.304988
gene_symbol,Mettl18
gene_accession_id,MGI:1917212
mouse_strain,C57BL
