mouse_strain,C57BL
analysis_id,703atu99j9ln426
pvalue,0.7778668
mouse_life_stage,Early adult
parameter_name,Alpha-amylase
parameter_id,IMPC_CBC_023_001
gene_accession_id,MGI:103556
gene_symbol,Cxcl12
