parameter_id,M-G-P_007_001_006
analysis_id,0s3l0da93yk0ikj
mouse_life_stage,E12.5
pvalue,0.07882252
mouse_strain,C57BL
gene_accession_id,MGI:1915956
gene_symbol,Rgp1
parameter_name,Periphery - distance
