parameter_id,IMPC_HEM_027_001
mouse_life_stage,E18.5
analysis_id,2g42ln6b40s4xx6
gene_symbol,Hadhb
mouse_strain,C57BL
parameter_name,Red blood cell distribution width
gene_accession_id,MGI:2136381
pvalue,0.1464802
