pvalue,0.3751077
mouse_strain,C57BL
gene_accession_id,mgi:2444156
parameter_name,Optic vesicle morphology
parameter_id,IMPC_GEL_061_001
analysis_id,59ir8372mvnd949
gene_symbol,Rccd1
mouse_life_stage,Early adult
