gene_accession_id,MGI:1915814
gene_symbol,Nufip2
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_id,M-G-P_007_001_003
pvalue,0.2766179
parameter_name,Whole Arena - resting time
analysis_id,2b21x9n0f26v1d9
