mouse_strain,C57BL
gene_symbol,Fbxo11
mouse_life_stage,E15.5
parameter_name,Coat texture
parameter_id,M-G-P_026_001_005
analysis_id,383xrbxyulnvl92
gene_accession_id,MGI:2147134
pvalue,0.8882135
