gene_accession_id,MGI:2676312
gene_symbol,Abca12
mouse_strain,C58BL
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_092_001
pvalue,0.28012
parameter_name,Retina (combined)
analysis_id,ouavu31rc6s38od
