mouse_life_stage,Early adult
parameter_name,Narrow eye opening
mouse_strain,C57BL
gene_accession_id,MGI:1194883
pvalue,0.4766625
parameter_id,IMPC_EYE_006_001
gene_symbol,Crx
analysis_id,9v0i35g73v0rge3
