mouse_strain,C57BL
gene_accession_id,MGI:2682952
parameter_name,Glucose
mouse_life_stage,Early adult
analysis_id,ahij9u569ou5r7j
gene_symbol,Prdm10
parameter_id,IMPC_CBC_018_001
pvalue,0.1662839
