analysis_id,2tdmp7975x62829
mouse_life_stage,Early adult
pvalue,0.8619175
gene_accession_id,MGI:2142651
mouse_strain,C57BL
gene_symbol,Prmt9
parameter_name,Limb morphology
parameter_id,IMPC_GEO_065_001
