parameter_name,Area under glucose response curve
gene_symbol,Ide
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,oh972528d95zs62
parameter_id,IMPC_IPG_012_001
pvalue,0.7755214
gene_accession_id,MGI:96412
