mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_GPO_002_001
parameter_name,Placenta Morphology
pvalue,0.7435174
gene_symbol,Fes
gene_accession_id,MGI:95514
analysis_id,2690v7066s13f3o
